# blue  gain1   gain2   read-noise1    read-noise2
# red   gain1   gain2   read-noise1    read-noise2
# 32 lines altogether
01B    1.07	1.05     4.28	  4.0005
01R    0.88	0.88     3.5024	  3.5992
02B   0.99	0.92     4.0293	  3.772
02R   0.89	0.9	 3.4621	  3.537
03B   0.99	0.75     4.0788	  2.88
03R   0.86	0.88     3.5948	  3.52
04B   0.98	1.02     4.067	  4.1616
04R   0.89	0.87     3.3642	  3.2799
05B   0.87	0.9	 3.3408	  3.357
05R   1.1	1.32     4.125	  4.5804
06B   0.96	0.97     3.552	  3.2007
06R   0.97	0.95     3.9188	  3.838
07B   0.82	0.86     3.3784	  3.4314
07R   0.98	1.1	 4.165	  4.4
08B   0.89	0.88     3.4265	  3.3968
08R   0.99	0.97     4.2273	  3.9576
09B   0.87	0.87     3.4713	  3.3756
09R   0.94	0.98     3.8822	  3.8318
10B   0.88	0.89     3.6872	  3.4176
10R   0.87	0.86     3.2277	  3.3024
11B   1.2	1.19     4.764	  4.6291
11R   0.89	0.91     3.5155	  3.5672
12B   0.79	0.95     3.2548	  3.762
12R   0.85	0.85     3.3915	  3.2385
13B   1.01	1.04     4.1309	  4.1184
13R   0.85	0.85     3.349	  3.349
14B   1.13	1.06     4.3166	  3.9856
14R   0.87	0.87     3.4713	  3.4713
15B   1.19	1.18     5.0099	  4.9974
15R   0.89	0.88     3.7647	  3.4672
16B   1.04	1.03     3.9416	  3.9861
16R   0.95	0.94     3.857	  3.8164
