#相机编号	读出放大器	         快读 250k		     慢读 50k	
#		增益  e/ADU	噪声  e	增益  e/ADU	噪声  e
01R	left	0.9	4.72	0.87	2.86
01R	right	0.94	4.43	0.88	2.96
01B	left	0.85	4.63	0.82	3.22
01B	right	0.84	4.44	0.81	3.57
02R	left	0.89	5.39	0.88	3.18
02R	right	0.86	4.62	0.84	3.15
02B	left	0.86	4.86	0.84	3.46
02B	right	0.87	4.39	0.85	3.31
03R	left	0.9	4.89	0.85	2.94
03R	right	0.96	5.84	0.86	3.53
03B	left	0.85	4.26	0.83	2.96
03B	right	0.86	4.24	0.83	3.26
04R	left	0.94	4.59	0.89	3.16
04R	right	0.92	4.45	0.88	2.93
04B	left	0.84	4.34	0.82	3.36
04B	right	0.83	4.23	0.82	3.59
05R	left	0.91	5.83	0.89	2.79
05R	right	0.96	4.59	0.87	2.82
05B	left	0.85	3.94	0.82	3.46
05B	right	0.85	3.91	0.83	3.21
06R	left	0.91	4.77	0.86	3.16
06R	right	0.95	4.89	0.9	3.24
06B	left	0.81	4.65	0.8	3.58
06B	right	0.82	4.69	0.81	3.84
07R	left	0.92	4.42	0.89	3.15
07R	right	0.9	4.27	0.9	2.87
07B	left	0.9	4.3	0.85	2.79
07B	right	0.88	4.6	0.86	3.32
08R	left	0.91	6.27	0.89	3.45
08R	right	0.98	6.87	0.89	3.96
08B	left	0.87	4.93	0.84	3.09
08B	right	0.86	4.19	0.84	3.22
09R	left	0.9	4.32	0.86	2.83
09R	right	0.95	4.66	0.88	3.27
09B	left	0.86	4.05	0.83	2.85
09B	right	0.83	4.18	0.81	3.27
10R	left	0.9	4.7	0.86	3.17
10R	right	0.92	4.66	0.89	3.43
10B	left	0.86	4.38	0.84	3.45
10B	right	0.86	4.19	0.83	3.25
11R	left	0.94	4.36	0.89	2.75
11R	right	0.92	4.17	0.89	2.84
11B	left	0.85	4.43	0.82	3.67
11B	right	0.86	4.28	0.82	3.52
12R	left	0.92	4.29	0.9	2.65
12R	right	0.89	4.16	0.87	2.79
12B	left	0.87	4.73	0.84	3.49
12B	right	0.87	4.93	0.84	3.47
13R	left	0.89	4.58	0.87	2.76
13R	right	0.9	4.64	0.87	2.84
13B	left	0.82	4.57	0.82	3.8
13B	right	0.86	4.51	0.82	3.83
14R	left	0.9	4.29	0.84	2.56
14R	right	0.88	4.32	0.84	2.75
14B	left	0.85	4.35	0.82	3.35
14B	right	0.87	4.41	0.82	3.24
15R	left	0.89	4.38	0.86	2.81
15R	right	0.89	4.87	0.89	3.52
15B	left	0.86	4.39	0.82	3.28
15B	right	0.87	4.37	0.81	3.52
16R	left	0.87	5.18	0.85	3.86
16R	right	0.9	4.37	0.84	2.75
16B	left	0.9	5.07	0.87	3.4
16B	right	0.92	4.55	0.88	3.36

