#相机编号	读出放大器	         快读 250k		     慢读 50k	
#		增益  e/ADU	噪声  e	增益  e/ADU	噪声  e
01R	left	0.889	2.96	0.889	2.96
01R	right	0.910	3.29	0.910	3.29
01B	left	0.910	2.25	0.910	2.25
01B	right	0.915	2.24	0.915	2.24
02R	left	0.885	3.75	0.885	3.75
02R	right	0.892   3.75    0.892   3.75
02B	left	0.839   3.64    0.839   3.64
02B	right	0.853   3.67    0.853   3.67
03R	left	0.880   2.96    0.880   2.96
03R	right	0.880   3.30    0.880   3.30
03B	left	0.829   4.44    0.829   4.44
03B	right	0.801   4.24    0.801   4.24
04R	left	0.913   3.16    0.913   3.16
04R	right	0.904   3.27    0.904   3.27
04B	left	0.808   3.33    0.808   3.33
04B	right	0.801   3.07    0.801   3.07
05R	left	0.980   3.87    0.980   3.87
05R	right	0.904   3.25    0.904   3.25
05B	left	0.850   3.93    0.850   3.93
05B	right	0.845   3.46    0.845   3.46
06R	left	0.898   3.76    0.898   3.76
06R	right	0.923   3.60    0.923   3.60
06B	left	0.815   3.54    0.815   3.54
06B	right	0.828   3.68    0.828   3.68
07R	left	0.908   3.99    0.908   3.99
07R	right	0.912   3.62    0.912   3.62
07B	left	0.852   3.78    0.852   3.78
07B	right	0.848   3.45    0.848   3.45
08R	left	0.956   4.08    0.956   4.08
08R	right	0.937   3.97    0.937   3.97
08B	left	0.840   3.12    0.840   3.12
08B	right	0.821   2.96    0.821   2.96
09R	left	0.929   3.11    0.929   3.11
09R	right	0.945   3.43    0.945   3.43
09B	left	0.847   2.97    0.847   2.97
09B	right	0.834   3.55    0.834   3.55
10R	left	0.924   4.07    0.924   4.07
10R	right	0.900   3.34    0.900   3.34
10B	left	0.875   2.63    0.875   2.63
10B	right	0.871   2.69    0.871   2.69
11R	left	0.918   3.02    0.918   3.02
11R	right	0.928   2.93    0.928   2.93
11B	left	0.810   4.39    0.810   4.39
11B	right	0.806   4.72    0.806   4.72
12R	left	0.940   3.40    0.940   3.40
12R	right	0.907   3.77    0.907   3.77
12B	left	0.853   3.61    0.853   3.61
12B	right	0.850   3.67    0.850   3.67
13R	left	0.900   3.72    0.900   3.72
13R	right	0.888   3.76    0.888   3.76
13B	left	0.836   3.81    0.836   3.81
13B	right	0.833   3.73    0.833   3.73
14R	left	0.915   2.84    0.915   2.84
14R	right	0.903   3.00    0.903   3.00
14B	left	0.830   3.72    0.830   3.72
14B	right	0.815   3.67    0.815   3.67
15R	left	0.878   2.98    0.878   2.98
15R	right	0.869   2.95    0.869   2.95
15B	left	0.851   3.29    0.851   3.29
15B	right	0.848   3.47    0.848   3.47
16R	left	0.880   5.33    0.880   5.33
16R	right	0.884   3.01    0.884   3.01
16B	left	0.829   2.93    0.829   2.93
16B	right	0.931   3.36    0.931   3.36
