01R	0.882	0.915	2.84	3.10
01B	0.837	0.824	7.10	3.68
02R	0.887	0.883	2.92	3.45
02B	0.826	0.852	3.78	3.48
03R	0.892	0.847	4.24	3.80
03B	0.846	0.805	3.36	3.09
04R	0.910	0.888	3.23	3.36
04B	0.831	0.831	3.50	3.32
05R	0.923	0.899	3.53	3.51
05B	0.853	0.850	3.98	3.58
06R	0.894	0.930	4.05	3.85
06B	0.934	0.922	4.81	6.07
07R	0.909	0.900	5.08	3.40
07B	0.852	0.859	3.84	3.33
08R	0.907	0.920	4.44	5.42
08B	0.845	0.844	3.50	3.35
09R	0.880	0.913	3.92	3.25
09B	0.843	0.827	2.86	3.41
10R	0.902	0.918	4.19	3.41
10B	0.842	0.834	3.39	3.16
11R	0.926	0.910	3.04	3.31
11B	0.811	0.811	9.00	9.89
12R	0.935	0.911	3.40	3.01
12B	0.892	0.885	2.38	2.34
13R	0.906	0.924	2.94	3.46
13B	0.844	0.843	3.59	3.54
14R	0.899	0.883	2.71	3.05
14B	0.855	0.861	3.14	3.29
15R	0.886	0.905	3.72	4.80
15B	0.888	0.880	3.18	3.47
16R	0.885	0.871	5.08	2.91
16B	0.836	0.842	3.00	3.25
